title,summary,url,source,publication_date,category
'Day coming soon when Tehran will be free': Netanyahu's message for Iranians,"Israel-Hezbollah War Live: Netanyahu tells Iranians 'nowhere in the Middle East Israel cannot reach' Prime Minister Benjamin Netanyahu on Monday warned Iranians there was no place in the Middle East beyond Israel's reach, as his military launched strikes on the Iran-backed Hezbollah in Lebanon.""There is nowhere in the Middle East Israel cannot reach,"" Netanyahu said in a video statement issued in English, warning the people of Iran that their ""regime plunges our region deeper into darkness and deeper into war"". (AFP) Israel-Hezbollah War Live: Israel army says killed two leaders of Palestinian group in Beirut",https://timesofindia.indiatimes.com/world/middle-east/israel-hezbollah-war-news-live-updates-israeli-air-strikes-lebanon-killed-hassan-nasrallah-beirut-hezbollah-new-cheif-hashem-safieddine-iran-ayatollah-ali-khamenei/liveblog/113791649.cms,Times of India,Publication date not available.,general-'Day coming soon when Tehran will be free': Netanyahu's message for Iranians news
Stock trading is the new gambling as youth fall for lure of easy money,"A new generation of addicts is being created as novices blow up savings, borrow money for trades. Some of them are even ending up in rehab Copyright © 2024 Bennett, Coleman & Co. Ltd. All rights reserved. For reprint rights: Times Syndication Service.",https://timesofindia.indiatimes.com/india/stock-trading-becomes-the-new-gambling-as-youngsters-fall-for-lure-of-easy-money/articleshow/113767832.cms,Times of India,Publication date not available.,business
'My life back on track': Dalit student thanks SC for 'extraordinary' relief,"The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide. With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports on a wide range of topics. The TOI News Desk is your trusted source for staying informed and connected to the ever-evolving global landscape, ensuring that our readers are equipped with the latest developments that matter most.""Read More 8 fruits and veggies that can help get rid of eye glasses 10 green vegetables that have highest protein content",https://timesofindia.indiatimes.com/india/all-the-best-sc-orders-iit-dhanbad-to-admit-dalit-youth-who-lost-seat-over-rs-17k-fees-atul-kumar-supreme-court/articleshow/113815376.cms,Times of India,Publication date not available.,education
ED books K'taka CM in money-laundering case linked to Muda 'scam',"The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide. With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports on a wide range of topics. The TOI News Desk is your trusted source for staying informed and connected to the ever-evolving global landscape, ensuring that our readers are equipped with the latest developments that matter most.""Read More 8 fruits and veggies that can help get rid of eye glasses 10 green vegetables that have highest protein content",https://timesofindia.indiatimes.com/india/karnataka-cm-siddaramaiah-booked-in-muda-linked-money-laundering-case-by-ed/articleshow/113820145.cms,Times of India,Publication date not available.,general-ED books K'taka CM in money-laundering case linked to Muda 'scam' news
"SA20 Auction: Players, squads, date - everything you need to know","The TOI Sports Desk excels in a myriad of roles that capture the essence of live sporting events and deliver compelling content to readers worldwide. From running live blogs for India and non-India cricket matches to global spectacles featuring Indian talents, like the Chess World Cup final featuring Praggnanandhaa and the Badminton World Championships semifinal featuring HS Prannoy, our live coverage extends to all mega sporting events. We extensively cover events like the Olympics, Asian Games, Cricket World Cups, FIFA World Cups, and more. The desk is also adept at writing comprehensive match reports and insightful post-match commentary, complemented by stats-based articles that provide an in-depth analysis of player performances and team dynamics. We track news wires for key stories, conduct exclusive player interviews in both text and video formats, and file content from print editions and reporters. We keep track of all viral stories, trending topics and produce our own copies on the subjects. We deliver accurate, engaging, and up-to-the-minute sports content, round the clock.Read More 2nd Test, Day 1: B'desh 107/3 vs India on rain-shortened opening day Ashwin shines as India hammer Bangladesh in Chennai Test",https://timesofindia.indiatimes.com/sports/cricket/news/sa20-auction-players-purse-remaining-squads-date-everything-you-need-to-know/articleshow/113820446.cms,Times of India,Publication date not available.,sports
Women’s heart condition is often misdiagnosed. What you need to know,"Women’s signals differ compared to men in matters of the heart, say doctors, which is why they still miss out on vital treatment for their No. 1 killer—cardiovascular disease Copyright © 2024 Bennett, Coleman & Co. Ltd. All rights reserved. For reprint rights: Times Syndication Service.",https://timesofindia.indiatimes.com/india/why-heart-condition-in-young-women-is-often-overlooked-and-misdiagnosed/articleshow/113781990.cms,Times of India,Publication date not available.,health
‘Not abla nari’: Ritu Rathee amidst rumours with YouTuber Gaurav Taneja,"A post shared by Ritu Rathee Taneja (@riturathee) The TOI Tech Desk is a dedicated team of journalists committed to delivering the latest and most relevant news from the world of technology to readers of The Times of India. TOI Tech Desk’s news coverage spans a wide spectrum across gadget launches, gadget reviews, trends, in-depth analysis, exclusive reports and breaking stories that impact technology and the digital universe. Be it how-tos or the latest happenings in AI, cybersecurity, personal gadgets, platforms like WhatsApp, Instagram, Facebook and more; TOI Tech Desk brings the news with accuracy and authenticity.Read More HMD Skyline 5G",https://timesofindia.indiatimes.com/technology/social/i-am-not-a-abla-nari-ritu-rathee-amidst-rumours-with-youtuber-gaurav-taneja/articleshow/113805555.cms,Times of India,Publication date not available.,technology
"RG Kar case: SC raps Bengal govt for 'tardiness' in installing CCTVs, building toilets","Kolkata rape: SC pulls up Bengal govt for 'tardiness' in installing CCTVs, building resting rooms The Supreme Court on Monday expressed dissatisfaction over ""tardy"" progress by West Bengal government in installation of CCTVs and construction of toilets and separate resting rooms at medical facilities, and directed the state government to complete ongoing work by October 15. The apex court was hearing a suo motu case related to the rape and murder of a postgraduate medic at the R G Kar Medical College and Hospital in Kolkata.The top court also reiterated its earlier order that no intermediary is allowed to publish the name and photo of the victim in the case.As the hearing commenced, advocate Vrinda Grover told a bench of Chief Justice D Y Chandrachud and Justices J B Pardiwala and Manoj Misra that the parents of the deceased victim are disconcerted by repeated clips in social media disclosing her name and photos.The top court said it had already passed an order on this issue and it was for the law enforcement agencies to implement the order. It clarified its earlier order and said it applies to all intermediaries.The bench noted that substantial leads have come up in the CBI investigation and it has given statements on both aspects -- alleged rape and murder and the financial irregularities. Kolkata doctor case hearing: SC directs Tushar Mehta to submit report on progress of National Task Force, posts hearing in Kolkata rape-murder case to Oct 14.",https://timesofindia.indiatimes.com/india/kolkata-doctor-rape-murder-case-supreme-court-hearing-live-updates-suo-moto-rg-kar-hospital-junior-doctor-protest-torch-rally-sagore-dutta-hospital/liveblog/113801397.cms,Times of India,Publication date not available.,politics
Air Arabia's new early bird promotional offer!,You must login to keep earning daily check-in points  Lifetime,https://timesofindia.indiatimes.com/articleshow/109490488.cms,Times of India,Publication date not available.,general-Air Arabia's new early bird promotional offer! news
"Flipkart Big Billion Days! Sony Bravia 2 43"" 4K Smart TV at ₹36,999* Only",Summary not available.,https://www.flipkart.com/sony-bravia-2-108-cm-43-inch-ultra-hd-4k-led-smart-google-tv-2024/p/itm02f057ffc49f6?pid=TVSHYP2EXEG8Q6TP&cmpid=socialorg_TOI_TV_SONY,Times of India,Publication date not available.,"general-Flipkart Big Billion Days! Sony Bravia 2 43"" 4K Smart TV at ₹36,999* Only news"
