title,summary,url,source,publication_date,category
IIMK Advanced Strategic Management Programme,Summary not available.,https://timesofindia.indiatimes.com/spotlight/transform-your-leadership-skills-with-iim-kozhikodes-advanced-strategic-management-programme/articleshow/113803528.cms,Times of India,Publication date not available.,general-IIMK Advanced Strategic Management Programme news
Poll bonds case: Relief for FM Sitharaman as K'taka HC stays probe,"The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide. With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports on a wide range of topics. The TOI News Desk is your trusted source for staying informed and connected to the ever-evolving global landscape, ensuring that our readers are equipped with the latest developments that matter most.""Read More 8 fruits and veggies that can help get rid of eye glasses 10 green vegetables that have highest protein content",https://timesofindia.indiatimes.com/india/electoral-bonds-case-relief-for-fm-sitharaman-as-karnataka-hc-stays-probe/articleshow/113819453.cms,Times of India,Publication date not available.,general-Poll bonds case: Relief for FM Sitharaman as K'taka HC stays probe news
"Video of man doing pull-ups on signboard goes viral, UP police responds","The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide. With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports on a wide range of topics. The TOI News Desk is your trusted source for staying informed and connected to the ever-evolving global landscape, ensuring that our readers are equipped with the latest developments that matter most.""Read More 8 fruits and veggies that can help get rid of eye glasses 10 green vegetables that have highest protein content",https://timesofindia.indiatimes.com/india/video-of-man-doing-pull-ups-on-signboard-goes-viral-up-police-responds/articleshow/113820175.cms,Times of India,Publication date not available.,"general-Video of man doing pull-ups on signboard goes viral, UP police responds news"
How hackers are ‘using’ Apple and Microsoft to scam people online,"The TOI Tech Desk is a dedicated team of journalists committed to delivering the latest and most relevant news from the world of technology to readers of The Times of India. TOI Tech Desk’s news coverage spans a wide spectrum across gadget launches, gadget reviews, trends, in-depth analysis, exclusive reports and breaking stories that impact technology and the digital universe. Be it how-tos or the latest happenings in AI, cybersecurity, personal gadgets, platforms like WhatsApp, Instagram, Facebook and more; TOI Tech Desk brings the news with accuracy and authenticity.Read More",https://timesofindia.indiatimes.com/technology/tech-news/how-hackers-are-using-apple-and-microsoft-to-scam-people-online/articleshow/113814278.cms,Times of India,Publication date not available.,technology
Amazon Sale: Gaming Laptops At Up To 50% Discount & Additional Exchange Offers,"Aarohy is a copywriting and lifestyle journalist and has written compelling product reviews on products from tech, sports, health, food, pets and more. With a keen eye for detail, she understands the features of various products across categories which helps her write authentic reviews and detailed explanations for users to make the right buying decision. Her analytical skills help her compare multiple products and pick the best for her readers. A former book author, she pioneered the art of writing sales and deals content. She is a Yoga enthusiast and a hard-core animal lover.Read More",https://timesofindia.indiatimes.com/hot-picks/electronics-accessories/amazon-sale-gaming-laptops-at-up-to-50-discount-additional-exchange-offers/articleshow/113815297.cms,Times of India,Publication date not available.,lifestyle
"'Focus on Manipur, not my health': Kharge slams Shah","The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide. With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports on a wide range of topics. The TOI News Desk is your trusted source for staying informed and connected to the ever-evolving global landscape, ensuring that our readers are equipped with the latest developments that matter most.""Read More 8 fruits and veggies that can help get rid of eye glasses 10 green vegetables that have highest protein content",https://timesofindia.indiatimes.com/india/focus-on-manipur-not-my-health-kharge-responds-after-amit-shah-slams-congress-presidents-will-live-to-see-modi-go-remark/articleshow/113811961.cms,Times of India,Publication date not available.,health
Govt notifies latest post office schemes interest rates - check list,"The TOI Business Desk is a vigilant and dedicated team of journalists committed to delivering the latest and most relevant business news from around the world to readers of The Times of India. The primary focus of the TOI Business Desk is to keep a watchful eye on the global business landscape, covering a wide spectrum of industries, markets, economic trends, in-depth analysis, exclusive reports and breaking stories that impact businesses and economies. With a mission to provide valuable insights and updates, the desk ensures that TOI readers are well-informed about the ever-changing and dynamic world of commerce and can navigate the complexities of the business world.Read More 10 Most Affordable Cities in India to Buy a House The Pros and Cons of Investing in Value Stocks",https://timesofindia.indiatimes.com/business/india-business/post-office-small-savings-schemes-latest-interest-rates-october-december-2024-ppf-ssy-scss-nsc-kisan-vikas-details/articleshow/113804507.cms,Times of India,Publication date not available.,business
"Nasa’s stunning visuals of the sun, stars, galaxy, and stellar universe","The TOI Science Desk stands as an inquisitive team of journalists, ceaselessly delving into the realms of discovery to curate a captivating collection of news, features, and articles from the vast and ever-evolving world of science for the readers of The Times of India. Consider us your scientific companion, delivering a daily dose of wonder and enlightenment. Whether it's the intricacies of genetic engineering, the marvels of space exploration, or the latest in artificial intelligence, the TOI Science Desk ensures you stay connected to the pulse of the scientific world. At the TOI Science Desk, we are not just reporters; we are storytellers of scientific narratives. We are committed to demystifying the intricacies of science, making it accessible and engaging for readers of all backgrounds. Join us as we craft knowledge with precision and passion, bringing you on a journey where the mysteries of the universe unfold with every word.Read More",https://timesofindia.indiatimes.com/science/nasas-stunning-visuals-of-the-sun-stars-galaxy-and-stellar-universe/articleshow/113818608.cms,Times of India,Publication date not available.,science
"Stock market crash: Sensex plunges over 1,200 points","The TOI Business Desk is a vigilant and dedicated team of journalists committed to delivering the latest and most relevant business news from around the world to readers of The Times of India. The primary focus of the TOI Business Desk is to keep a watchful eye on the global business landscape, covering a wide spectrum of industries, markets, economic trends, in-depth analysis, exclusive reports and breaking stories that impact businesses and economies. With a mission to provide valuable insights and updates, the desk ensures that TOI readers are well-informed about the ever-changing and dynamic world of commerce and can navigate the complexities of the business world.Read More 10 Most Affordable Cities in India to Buy a House The Pros and Cons of Investing in Value Stocks",https://timesofindia.indiatimes.com/business/india-business/stock-market-today-bse-sensex-nifty50-september-30-2024-dalal-street-indian-equities-global-markets/articleshow/113800183.cms,Times of India,Publication date not available.,business
Tyler Huntley’s 'snoop' nickname: The rapper connection explained,"The TOI Sports Desk excels in a myriad of roles that capture the essence of live sporting events and deliver compelling content to readers worldwide. From running live blogs for India and non-India cricket matches to global spectacles featuring Indian talents, like the Chess World Cup final featuring Praggnanandhaa and the Badminton World Championships semifinal featuring HS Prannoy, our live coverage extends to all mega sporting events. We extensively cover events like the Olympics, Asian Games, Cricket World Cups, FIFA World Cups, and more. The desk is also adept at writing comprehensive match reports and insightful post-match commentary, complemented by stats-based articles that provide an in-depth analysis of player performances and team dynamics. We track news wires for key stories, conduct exclusive player interviews in both text and video formats, and file content from print editions and reporters. We keep track of all viral stories, trending topics and produce our own copies on the subjects. We deliver accurate, engaging, and up-to-the-minute sports content, round the clock.Read More 2nd Test, Day 1: B'desh 107/3 vs India on rain-shortened opening day Ashwin shines as India hammer Bangladesh in Chennai Test",https://timesofindia.indiatimes.com/sports/nfl/tyler-huntleys-snoop-nickname-the-rapper-connection-explained/articleshow/113816620.cms,Times of India,Publication date not available.,sports
"Kohli fastest to 27,000 runs in international cricket","The TOI Sports Desk excels in a myriad of roles that capture the essence of live sporting events and deliver compelling content to readers worldwide. From running live blogs for India and non-India cricket matches to global spectacles featuring Indian talents, like the Chess World Cup final featuring Praggnanandhaa and the Badminton World Championships semifinal featuring HS Prannoy, our live coverage extends to all mega sporting events. We extensively cover events like the Olympics, Asian Games, Cricket World Cups, FIFA World Cups, and more. The desk is also adept at writing comprehensive match reports and insightful post-match commentary, complemented by stats-based articles that provide an in-depth analysis of player performances and team dynamics. We track news wires for key stories, conduct exclusive player interviews in both text and video formats, and file content from print editions and reporters. We keep track of all viral stories, trending topics and produce our own copies on the subjects. We deliver accurate, engaging, and up-to-the-minute sports content, round the clock.Read More 2nd Test, Day 1: B'desh 107/3 vs India on rain-shortened opening day Ashwin shines as India hammer Bangladesh in Chennai Test",https://timesofindia.indiatimes.com/sports/cricket/bangladesh-in-india/virat-kohli-becomes-fastest-to-27000-runs-in-international-cricket/articleshow/113815164.cms,Times of India,Publication date not available.,sports
French footballer Kylian Mbappe has invested in this electronics company,"The TOI Tech Desk is a dedicated team of journalists committed to delivering the latest and most relevant news from the world of technology to readers of The Times of India. TOI Tech Desk’s news coverage spans a wide spectrum across gadget launches, gadget reviews, trends, in-depth analysis, exclusive reports and breaking stories that impact technology and the digital universe. Be it how-tos or the latest happenings in AI, cybersecurity, personal gadgets, platforms like WhatsApp, Instagram, Facebook and more; TOI Tech Desk brings the news with accuracy and authenticity.Read More",https://timesofindia.indiatimes.com/technology/tech-news/french-footballer-kylian-mbappe-has-invested-in-this-electronics-company/articleshow/113817927.cms,Times of India,Publication date not available.,technology
"California governor vetoes AI bill: What it means for Google, Microsoft, Meta, OpenAI and other tech giants","The TOI Tech Desk is a dedicated team of journalists committed to delivering the latest and most relevant news from the world of technology to readers of The Times of India. TOI Tech Desk’s news coverage spans a wide spectrum across gadget launches, gadget reviews, trends, in-depth analysis, exclusive reports and breaking stories that impact technology and the digital universe. Be it how-tos or the latest happenings in AI, cybersecurity, personal gadgets, platforms like WhatsApp, Instagram, Facebook and more; TOI Tech Desk brings the news with accuracy and authenticity.Read More Xiaomi Redmi Note 13R Pro 5G ₹23,690",https://timesofindia.indiatimes.com/technology/tech-news/california-governor-vetoes-ai-bill-what-it-means-for-google-microsoft-meta-openai-and-other-tech-giants/articleshow/113817513.cms,Times of India,Publication date not available.,technology
"Best 43 Inch TVs In India: Top FHD LED TVs, 4K TVs & QLED TVs With A Screen Size Of 43 Inches","Aarohy is a copywriting and lifestyle journalist and has written compelling product reviews on products from tech, sports, health, food, pets and more. With a keen eye for detail, she understands the features of various products across categories which helps her write authentic reviews and detailed explanations for users to make the right buying decision. Her analytical skills help her compare multiple products and pick the best for her readers. A former book author, she pioneered the art of writing sales and deals content. She is a Yoga enthusiast and a hard-core animal lover.Read More",https://timesofindia.indiatimes.com/hot-picks/home-kitchen/best-43-inch-tvs-in-india-top-fhd-led-tvs-4k-tvs-qled-tvs-with-a-screen-size-of-43-inches/articleshow/113605394.cms,Times of India,Publication date not available.,lifestyle
Amazon Sale: Gaming Laptops At Up To 50% Discount & Additional Exchange Offers,"Aarohy is a copywriting and lifestyle journalist and has written compelling product reviews on products from tech, sports, health, food, pets and more. With a keen eye for detail, she understands the features of various products across categories which helps her write authentic reviews and detailed explanations for users to make the right buying decision. Her analytical skills help her compare multiple products and pick the best for her readers. A former book author, she pioneered the art of writing sales and deals content. She is a Yoga enthusiast and a hard-core animal lover.Read More",https://timesofindia.indiatimes.com/hot-picks/electronics-accessories/amazon-sale-gaming-laptops-at-up-to-50-discount-additional-exchange-offers/articleshow/113815297.cms,Times of India,Publication date not available.,lifestyle
"NEET PG Supreme Court hearing deferred due to absence of Government Counsel, new hearing likely on October 4","Gandhi Jayanti 2024: 10 Books by Mahatma Gandhi Every Student Should Read 10 Techniques to Boost Memory and Learning Speed for Students Who is Parita Parekh, youngest Indian entrepreneur and a Stanford alumna",https://timesofindia.indiatimes.com/education/news/neet-pg-supreme-court-hearing-deferred-due-to-absence-of-government-counsel-new-hearing-likely-on-october-4/articleshow/113817853.cms,Times of India,Publication date not available.,reviews or opinion-based
Work-Life Balance at Alphabet Inc.: 7 Policies That Support Employee Well-Being,"10 Techniques to Boost Memory and Learning Speed for Students Who is Parita Parekh, youngest Indian entrepreneur and a Stanford alumna 10 AI-Powered Apps Every Student Should Use: From Grammarly to Duolingo",https://timesofindia.indiatimes.com/education/news/work-life-balance-at-alphabet-inc-7-policies-that-support-employee-well-being/articleshow/113815475.cms,Times of India,Publication date not available.,education
Will Ranbir play a cameo in Prabhas' Spirit?,"The TOI Entertainment Desk is a dynamic and dedicated team of journalists, working tirelessly to bring the pulse of the entertainment world straight to the readers of The Times of India. No red carpet goes unrolled, no stage goes dark - our team spans the globe, bringing you the latest scoops and insider insights from Bollywood to Hollywood, and every entertainment hotspot in between. We don't just report; we tell tales of stardom and stories untold. Whether it's the rise of a new sensation or the seasoned journey of an industry veteran, the TOI Entertainment Desk is your front-row seat to the fascinating narratives that shape the entertainment landscape. Beyond the breaking news, we present a celebration of culture. We explore the intersections of entertainment with society, politics, and everyday life.Read More ​10 dog cross breeds that are super cute​ 10 most beautiful railway stations of India",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/will-ranbir-kapoor-play-a-cameo-in-prabhas-spirit-heres-what-we-know/articleshow/113820406.cms,Times of India,Publication date not available.,politics
Ananya Panday reacts on deepfake technology,"CTRL Trailer: Ananya Panday and Vihaan Samat Starrer CTRL Official Trailer The TOI Entertainment Desk is a dynamic and dedicated team of journalists, working tirelessly to bring the pulse of the entertainment world straight to the readers of The Times of India. No red carpet goes unrolled, no stage goes dark - our team spans the globe, bringing you the latest scoops and insider insights from Bollywood to Hollywood, and every entertainment hotspot in between. We don't just report; we tell tales of stardom and stories untold. Whether it's the rise of a new sensation or the seasoned journey of an industry veteran, the TOI Entertainment Desk is your front-row seat to the fascinating narratives that shape the entertainment landscape. Beyond the breaking news, we present a celebration of culture. We explore the intersections of entertainment with society, politics, and everyday life.Read More 10 delicious Indian dishes that can be made with raw banana",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/ananya-panday-believes-government-regulation-is-the-only-solution-to-stop-deepfake-videos/articleshow/113818399.cms,Times of India,Publication date not available.,politics
Natasa and Aleksander enjoy pool time in Goa,"A post shared by Aleksandar Alex Ilic (@iamaleksandarilic) The TOI Entertainment Desk is a dynamic and dedicated team of journalists, working tirelessly to bring the pulse of the entertainment world straight to the readers of The Times of India. No red carpet goes unrolled, no stage goes dark - our team spans the globe, bringing you the latest scoops and insider insights from Bollywood to Hollywood, and every entertainment hotspot in between. We don't just report; we tell tales of stardom and stories untold. Whether it's the rise of a new sensation or the seasoned journey of an industry veteran, the TOI Entertainment Desk is your front-row seat to the fascinating narratives that shape the entertainment landscape. Beyond the breaking news, we present a celebration of culture. We explore the intersections of entertainment with society, politics, and everyday life.Read More ​10 dog cross breeds that are super cute​",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/natasa-stankovic-gets-pranked-in-a-pool-by-disha-patanis-rumored-boyfriend-aleksander-during-their-goa-vacation-video-sparks-debate/articleshow/113819880.cms,Times of India,Publication date not available.,politics
Mallika's sassy banter with paparazzi - Watch,"The TOI Entertainment Desk is a dynamic and dedicated team of journalists, working tirelessly to bring the pulse of the entertainment world straight to the readers of The Times of India. No red carpet goes unrolled, no stage goes dark - our team spans the globe, bringing you the latest scoops and insider insights from Bollywood to Hollywood, and every entertainment hotspot in between. We don't just report; we tell tales of stardom and stories untold. Whether it's the rise of a new sensation or the seasoned journey of an industry veteran, the TOI Entertainment Desk is your front-row seat to the fascinating narratives that shape the entertainment landscape. Beyond the breaking news, we present a celebration of culture. We explore the intersections of entertainment with society, politics, and everyday life.Read More ​10 dog cross breeds that are super cute​ 10 most beautiful railway stations of India",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/watch-mallika-sherawat-engages-in-a-sassy-banter-with-paparazzi-says-20-saal-sey-main-industry-mai-hoon-mujhe-pehli-baar-dekha/articleshow/113820386.cms,Times of India,Publication date not available.,politics
Laughter Chefs: Top moments from the the recent episode,"Comedy-cooking show Laughter Chefs is coming to an end with the last episode airing on next week. The episode was filled with many hilarious and some emotional moments. The stars Jannat Zubair, Bharti Singh and others broke down emotionally as the show is going to end soon. Here’s a look at the top moments from the recent episode:- As Laughter Chefs is all set to wrap up soon, the stars—Aly Goni, Bharti Singh, Jannat Zubair, Nia Sharma, Krishna Abhishek, and others—gathered to watch a video clip featuring some of the most hilarious and heartfelt moments from the show. The montage stirred up deep emotions among the cast, reminding them of the fun and camaraderie they had shared throughout their journey. The emotional farewell led to warm hugs as they expressed how much they would miss shooting together. During the preparation of the special dish Khao Soi under the guidance of Chef Harpal Singh, Rahul unintentionally caused a kitchen mishap. While trying to follow the recipe, he accidentally poured oil into a pot of boiling water, which led to a sudden fire on the stove. The unexpected flare-up startled everyone on set, causing a brief moment of chaos. However, the situation was quickly brought under control, with laughter soon replacing the panic as the crew joked about Rahul's fiery cooking skills.",https://timesofindia.indiatimes.com/tv/news/hindi/laughter-chefs-from-bharti-singh-krushna-abhishek-getting-emotional-to-nia-sharma-getting-teary-eyed-on-missing-sudesh-lehri-top-moments-from-the-last-episode/photostory/113813671.cms,Times of India,Publication date not available.,entertainment
Priyanka emphasizes the importance of ‘rest',"Priyanka Chopra Kisses Nick Jonas During Concert; Plays with Malti Marie The TOI Entertainment Desk is a dynamic and dedicated team of journalists, working tirelessly to bring the pulse of the entertainment world straight to the readers of The Times of India. No red carpet goes unrolled, no stage goes dark - our team spans the globe, bringing you the latest scoops and insider insights from Bollywood to Hollywood, and every entertainment hotspot in between. We don't just report; we tell tales of stardom and stories untold. Whether it's the rise of a new sensation or the seasoned journey of an industry veteran, the TOI Entertainment Desk is your front-row seat to the fascinating narratives that shape the entertainment landscape. Beyond the breaking news, we present a celebration of culture. We explore the intersections of entertainment with society, politics, and everyday life.Read More 10 delicious Indian dishes that can be made with raw banana",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/priyanka-chopra-emphasizes-the-importance-of-rest-a-radical-act-of-self-love/articleshow/113818321.cms,Times of India,Publication date not available.,entertainment
03:11Diljit Makes Pakistani Fan's Night at Manchester Concert; Special Interaction Goes Viral,"Diljit Dosanjh's Mother Breaks Down As He Introduces Family For First Time Rahul Vaidya Shares Heartwarming Moments With His Adorable Daughter Diljit Dosanjh's Dil-Luminati Tour Tickets Sell Out In Minutes, Social Media Reacts With Memes And Jokes",https://timesofindia.indiatimes.com/videos/etimes/bollywood/diljit-makes-pakistani-fans-night-at-manchester-concert-special-interaction-goes-viral/videoshow/113811242.cms,Times of India,Publication date not available.,entertainment
03:11Diljit Makes Pakistani Fan's Night at Manchester Concert; Special Interaction Goes Viral,"Diljit Dosanjh's Mother Breaks Down As He Introduces Family For First Time Rahul Vaidya Shares Heartwarming Moments With His Adorable Daughter Diljit Dosanjh's Dil-Luminati Tour Tickets Sell Out In Minutes, Social Media Reacts With Memes And Jokes",https://timesofindia.indiatimes.com/videos/etimes/bollywood/diljit-makes-pakistani-fans-night-at-manchester-concert-special-interaction-goes-viral/videoshow/113811242.cms,Times of India,Publication date not available.,entertainment
Campaign for J&K’s final phase ends,​10 spotted animals and their distinct markings​ 8 habits to train your brain for peace and happiness 10 brain-boosting activities based on ancient Indian traditions,https://timesofindia.indiatimes.com/city/jammu/campaign-for-jks-final-phase-ends/articleshow/113793343.cms,Times of India,Publication date not available.,general-Campaign for J&K’s final phase ends news
"J&K polls: 23 govt officials suspended, 6 ad hoc employees disengaged from services for MCC violations",​How to make Curry Leaves Dosa at home 10 green vegetables that have highest protein content 8 magical tips for young couples to cultivate a happy relationship,https://timesofindia.indiatimes.com/india/jk-polls-23-govt-officials-suspended-6-ad-hoc-employees-disengaged-from-services-for-mcc-violations/articleshow/113791703.cms,Times of India,Publication date not available.,lifestyle
WWE,"Hulk Hogan, the legendary WWE star, has had three marriages. His first marriage to Linda Marie Claridge ended in 2007 due to an affair. He married Jennifer McDaniel in 2010 but divorced in 2022. Hogan's third marriage to Sky Daily, a yoga instructor, took place on September 22, 2023. Hulk Hogan reflects on the changes in professional wrestling over the years. He notes that while past stars had to draw crowds on their own, today's wrestlers benefit from advanced production. Hogan highlights WWE's ability to make any wrestler a main event star due to their refined techniques and praises the company's current success.",https://timesofindia.indiatimes.com/sports/wwe,Times of India,Publication date not available.,general-WWE news
NFL," Copyright © 2024 Bennett, Coleman & Co. Ltd. All rights reserved. For reprint rights: Times Syndication Service",https://timesofindia.indiatimes.com/sports/nfl,Times of India,Publication date not available.,general-NFL news
Pro-Khalistan preacher Amritpal Singh's backers to form political party,8 fruits and veggies that can help get rid of eye glasses 10 green vegetables that have highest protein content The 8 perfect steps to grow ‘Dhaniya’ in the kitchen garden,https://timesofindia.indiatimes.com/city/amritsar/pro-khalistani-preacher-amritpals-backers-to-form-political-party/articleshow/113807149.cms,Times of India,Publication date not available.,politics
"Man beaten in Australia, father extorted in Gujarat's Thaltej",8 fruits and veggies that can help get rid of eye glasses 10 green vegetables that have highest protein content The 8 perfect steps to grow ‘Dhaniya’ in the kitchen garden,https://timesofindia.indiatimes.com/city/ahmedabad/indian-farmer-extorted-after-sons-beating-in-australia/articleshow/113793184.cms,Times of India,Publication date not available.,"general-Man beaten in Australia, father extorted in Gujarat's Thaltej news"
